Customer_ID,Segment,Recency_Days,Frequency,Monetary_USD,RFM_Score,Churn_Risk,CLV_Estimate_USD,Pareto_Group
CUST_00047,Loyal Customers,165,32,761.01,72.21,Low,66700.89,Remaining 80%
CUST_00048,Potential Loyalists,202,7,150.72,16.0,Medium,2210.0,Remaining 80%
CUST_00049,Potential Loyalists,83,29,90.4,60.09,Medium,6188.74,Remaining 80%
CUST_00050,Loyal Customers,145,8,1032.68,27.01,Low,15212.03,Pareto Top 20%
CUST_00051,New Customers,85,1,1671.63,19.88,Medium,2756.95,Pareto Top 20%
CUST_00052,Lost Customers,78,3,35.9,7.62,Critical,330.14,Remaining 80%
CUST_00053,New Customers,1,24,677.02,104.77,Medium,32997.0,Remaining 80%
CUST_00054,New Customers,51,23,1221.34,60.14,Medium,52123.44,Pareto Top 20%
CUST_00055,At Risk,173,8,993.72,26.51,High,22921.04,Pareto Top 20%
CUST_00056,New Customers,205,47,1689.4,111.38,Medium,217251.53,Pareto Top 20%
CUST_00057,Champions,260,37,733.75,81.72,Low,75103.74,Remaining 80%
CUST_00058,Loyal Customers,288,3,311.97,9.47,Low,1832.31,Remaining 80%
CUST_00059,Champions,34,33,206.95,70.93,Low,13421.66,Remaining 80%
CUST_00060,Loyal Customers,348,28,213.38,58.42,Low,11600.39,Remaining 80%
CUST_00061,Potential Loyalists,95,47,664.44,101.69,Medium,57695.15,Remaining 80%
CUST_00062,Loyal Customers,72,8,704.89,24.42,Low,15854.09,Remaining 80%
CUST_00063,Lost Customers,39,34,131.8,71.82,Critical,14322.06,Remaining 80%
CUST_00064,Potential Loyalists,154,35,1032.94,80.97,Medium,106601.7,Pareto Top 20%
CUST_00065,Loyal Customers,250,32,647.5,70.87,Low,63904.36,Remaining 80%
CUST_00066,Potential Loyalists,162,24,433.63,52.95,Medium,24036.25,Remaining 80%
CUST_00067,Champions,118,14,338.89,32.23,Low,13323.16,Remaining 80%
CUST_00068,Lost Customers,259,32,411.79,68.5,Critical,29101.66,Remaining 80%
CUST_00069,Champions,306,46,106.73,93.39,Low,12524.38,Remaining 80%
CUST_00070,New Customers,268,43,133.89,87.71,Medium,14181.71,Remaining 80%
CUST_00071,Lost Customers,54,16,67.8,34.5,Critical,2010.97,Remaining 80%
CUST_00072,Loyal Customers,236,4,103.42,9.46,Low,940.77,Remaining 80%
CUST_00073,Champions,222,37,322.29,77.67,Low,40873.74,Remaining 80%
CUST_00074,Lost Customers,251,21,397.89,46.38,Critical,16687.65,Remaining 80%
CUST_00075,At Risk,313,14,29.01,28.61,High,717.9,Remaining 80%
CUST_00076,At Risk,112,31,816.78,71.05,High,59177.34,Pareto Top 20%
CUST_00077,Lost Customers,255,48,194.19,98.33,Critical,28715.35,Remaining 80%
CUST_00078,Champions,303,18,1234.28,48.67,Low,59192.78,Pareto Top 20%
CUST_00079,Potential Loyalists,207,7,1733.43,31.82,Medium,34726.93,Pareto Top 20%
CUST_00080,Champions,229,10,122.57,21.66,Low,2303.57,Remaining 80%
CUST_00081,New Customers,341,7,330.04,17.59,Medium,6325.31,Remaining 80%
CUST_00082,At Risk,66,33,20.62,67.7,High,1460.95,Remaining 80%
CUST_00083,Loyal Customers,75,23,476.06,52.08,Low,34694.28,Remaining 80%
CUST_00084,Champions,103,21,487.36,47.84,Low,28233.03,Remaining 80%
CUST_00085,Loyal Customers,192,19,162.2,40.14,Low,5848.37,Remaining 80%
CUST_00086,Loyal Customers,252,48,428.69,100.68,Low,33524.93,Remaining 80%
CUST_00087,At Risk,226,19,147.79,39.92,High,4451.44,Remaining 80%
CUST_00088,At Risk,294,36,107.67,73.42,High,8693.43,Remaining 80%
CUST_00089,New Customers,306,29,547.09,63.8,Medium,32234.2,Remaining 80%
CUST_00090,Potential Loyalists,98,18,217.21,39.18,Medium,10916.81,Remaining 80%
CUST_00091,Champions,338,2,466.12,8.96,Low,2329.36,Remaining 80%
CUST_00092,At Risk,286,1,303.92,5.39,High,617.58,Remaining 80%
CUST_00093,Lost Customers,335,47,2098.69,115.28,Critical,177398.81,Pareto Top 20%
CUST_00094,At Risk,347,5,101.01,11.3,High,886.06,Remaining 80%
CUST_00095,Lost Customers,308,20,332.37,43.65,Critical,21466.59,Remaining 80%
CUST_00096,Potential Loyalists,249,11,590.43,28.3,Medium,12904.74,Remaining 80%
CUST_00097,Potential Loyalists,166,42,271.71,87.32,Medium,31992.14,Remaining 80%
CUST_00098,Potential Loyalists,335,2,1858.47,22.88,Medium,11601.95,Pareto Top 20%
CUST_00099,Champions,30,3,659.87,15.82,Low,5400.7,Remaining 80%
CUST_00100,Champions,247,23,554.99,51.95,Low,41091.46,Remaining 80%
CUST_00101,Champions,106,12,727.47,32.21,Low,19945.37,Remaining 80%
CUST_00102,At Risk,51,20,1545.08,57.37,High,105449.99,Pareto Top 20%
CUST_00103,Loyal Customers,81,5,1212.0,23.34,Low,10703.72,Pareto Top 20%
CUST_00104,Potential Loyalists,133,37,664.19,81.39,Medium,41883.2,Remaining 80%
CUST_00105,New Customers,285,38,711.47,83.46,Medium,76170.41,Remaining 80%
CUST_00106,Loyal Customers,138,30,98.87,61.71,Low,10042.21,Remaining 80%
CUST_00107,Potential Loyalists,184,9,74.23,19.28,Medium,2082.89,Remaining 80%
CUST_00108,Lost Customers,330,34,443.04,72.73,Critical,24897.23,Remaining 80%
CUST_00109,Loyal Customers,273,44,29.27,88.66,Low,2651.4,Remaining 80%
CUST_00110,Champions,340,35,349.23,73.79,Low,41077.24,Remaining 80%
CUST_00111,Loyal Customers,69,22,138.08,46.81,Low,6094.1,Remaining 80%
CUST_00112,Loyal Customers,34,44,232.34,93.18,Low,31306.19,Remaining 80%
CUST_00113,New Customers,262,24,767.62,56.06,Medium,58036.94,Pareto Top 20%
CUST_00114,Lost Customers,53,17,1437.13,50.22,Critical,60855.8,Pareto Top 20%
CUST_00115,At Risk,205,10,57.59,21.06,High,1308.85,Remaining 80%
CUST_00116,New Customers,126,30,402.04,64.81,Medium,28949.88,Remaining 80%
CUST_00117,Lost Customers,235,46,1090.8,103.33,Critical,98041.92,Pareto Top 20%
CUST_00118,Loyal Customers,43,23,63.06,48.9,Low,4755.48,Remaining 80%
CUST_00119,New Customers,240,32,890.1,73.32,Medium,68394.98,Pareto Top 20%
CUST_00120,Potential Loyalists,111,17,241.43,37.31,Medium,13400.24,Remaining 80%
CUST_00121,Lost Customers,249,17,214.37,36.54,Critical,6236.79,Remaining 80%
CUST_00122,New Customers,151,14,1916.37,47.82,Medium,93273.0,Pareto Top 20%
CUST_00123,Loyal Customers,183,9,132.11,19.86,Low,2837.58,Remaining 80%
CUST_00124,Champions,336,40,610.77,86.4,Low,38983.29,Remaining 80%
CUST_00125,Loyal Customers,95,2,881.42,13.86,Low,2778.31,Pareto Top 20%
CUST_00126,Potential Loyalists,8,45,41.03,101.52,Medium,5525.04,Remaining 80%
CUST_00127,Lost Customers,360,25,574.92,56.03,Critical,40504.14,Remaining 80%
CUST_00128,New Customers,184,39,1533.61,93.88,Medium,185668.31,Pareto Top 20%
CUST_00129,Champions,281,9,86.32,19.22,Low,1329.04,Remaining 80%
CUST_00130,Potential Loyalists,195,22,1152.75,56.04,Medium,39844.94,Pareto Top 20%
CUST_00131,Potential Loyalists,352,43,471.66,91.0,Medium,51051.45,Remaining 80%
CUST_00132,Loyal Customers,195,46,499.34,97.5,Low,52260.31,Remaining 80%
CUST_00133,Champions,155,4,494.59,13.59,Low,4795.33,Remaining 80%
CUST_00134,Loyal Customers,93,26,197.51,55.04,Low,17887.02,Remaining 80%
CUST_00135,New Customers,160,29,1388.24,72.5,Medium,138551.21,Pareto Top 20%
CUST_00136,Loyal Customers,61,45,1492.05,106.53,Low,227251.73,Pareto Top 20%
CUST_00137,Potential Loyalists,122,34,510.82,73.92,Medium,53279.19,Remaining 80%
CUST_00138,At Risk,51,23,784.9,55.77,High,39890.74,Pareto Top 20%
CUST_00139,Potential Loyalists,277,37,493.71,79.3,Medium,42457.92,Remaining 80%
CUST_00140,New Customers,5,11,351.21,42.18,Medium,10041.64,Remaining 80%
CUST_00141,New Customers,92,6,560.61,18.68,Medium,10632.76,Remaining 80%
CUST_00142,Loyal Customers,170,18,422.6,40.81,Low,12455.57,Remaining 80%
CUST_00143,Potential Loyalists,317,21,475.0,47.06,Medium,23427.22,Remaining 80%
CUST_00144,Loyal Customers,22,42,785.85,96.21,Low,54962.26,Pareto Top 20%
CUST_00145,Loyal Customers,326,36,347.83,75.78,Low,31671.78,Remaining 80%
CUST_00146,Champions,1,41,40.8,132.41,Low,5516.56,Remaining 80%
CUST_00147,At Risk,133,38,109.56,77.84,High,12760.33,Remaining 80%
CUST_00148,Potential Loyalists,233,34,308.67,71.51,Medium,20524.48,Remaining 80%
CUST_00149,Champions,12,17,665.18,48.34,Low,39035.22,Remaining 80%
CUST_00150,Loyal Customers,346,37,469.81,78.99,Low,49275.52,Remaining 80%
CUST_00151,New Customers,46,25,545.33,57.58,Medium,20734.2,Remaining 80%
CUST_00152,Loyal Customers,34,38,346.27,82.32,Low,26458.98,Remaining 80%
CUST_00153,Champions,78,12,498.22,30.25,Low,12085.38,Remaining 80%
CUST_00154,Potential Loyalists,218,23,219.51,48.65,Medium,8272.39,Remaining 80%
CUST_00155,New Customers,301,42,337.61,87.71,Medium,48489.38,Remaining 80%
CUST_00156,Loyal Customers,73,22,701.83,52.37,Low,37929.16,Remaining 80%
CUST_00157,At Risk,282,21,1047.21,52.83,High,72387.57,Pareto Top 20%
CUST_00158,Lost Customers,249,27,304.28,57.44,Critical,17617.7,Remaining 80%
CUST_00159,Loyal Customers,47,31,42.32,64.51,Low,2296.47,Remaining 80%
CUST_00160,At Risk,121,6,108.17,13.9,High,1589.24,Remaining 80%
CUST_00161,Potential Loyalists,214,27,30.54,54.77,Medium,1424.8,Remaining 80%
CUST_00162,At Risk,239,40,549.59,85.91,High,54344.14,Remaining 80%
CUST_00163,At Risk,56,34,221.97,71.97,High,25211.4,Remaining 80%
CUST_00164,Potential Loyalists,350,12,410.97,28.39,Medium,12533.94,Remaining 80%
CUST_00165,Champions,107,45,359.9,94.52,Low,44262.29,Remaining 80%
CUST_00166,Lost Customers,319,7,62.52,14.94,Critical,793.56,Remaining 80%
CUST_00167,Loyal Customers,48,10,278.14,24.82,Low,4415.39,Remaining 80%
CUST_00168,Loyal Customers,61,45,144.59,93.06,Low,11201.78,Remaining 80%
CUST_00169,Champions,337,17,290.99,37.21,Low,13341.91,Remaining 80%
CUST_00170,At Risk,26,26,133.81,57.04,High,5879.69,Remaining 80%
CUST_00171,At Risk,292,21,937.71,51.72,High,44345.9,Pareto Top 20%
CUST_00172,Champions,257,28,115.7,57.54,Low,8423.56,Remaining 80%
CUST_00173,Potential Loyalists,8,46,1639.29,119.5,Medium,171725.56,Pareto Top 20%
CUST_00174,Loyal Customers,113,2,288.85,7.77,Low,1055.67,Remaining 80%
CUST_00175,At Risk,355,43,956.2,95.84,High,84189.64,Pareto Top 20%
CUST_00176,Loyal Customers,253,1,515.46,7.55,Low,1730.21,Remaining 80%
CUST_00177,At Risk,180,36,684.67,79.4,High,70295.56,Remaining 80%
CUST_00178,Potential Loyalists,207,26,749.91,59.98,Medium,48590.03,Remaining 80%
CUST_00179,New Customers,303,29,371.44,62.04,Medium,16431.56,Remaining 80%
CUST_00180,Champions,127,21,411.86,46.9,Low,30140.51,Remaining 80%
CUST_00181,Loyal Customers,56,11,380.77,27.56,Low,11907.44,Remaining 80%
CUST_00182,Champions,214,40,463.44,85.1,Low,39556.36,Remaining 80%
CUST_00183,New Customers,14,11,34.92,29.02,Medium,1251.67,Remaining 80%
CUST_00184,New Customers,28,36,271.69,78.17,Medium,19726.62,Remaining 80%
CUST_00185,Loyal Customers,78,49,485.94,104.13,Low,61623.81,Remaining 80%
CUST_00186,At Risk,216,39,475.31,83.21,High,51387.44,Remaining 80%
CUST_00187,Lost Customers,154,40,807.41,88.72,Critical,62723.7,Pareto Top 20%
CUST_00188,At Risk,14,35,552.12,82.19,High,66799.79,Remaining 80%
CUST_00189,Potential Loyalists,187,34,2442.56,92.96,Medium,248840.81,Pareto Top 20%
CUST_00190,Loyal Customers,312,47,186.94,96.19,Low,22981.36,Remaining 80%
CUST_00191,Champions,7,24,242.48,62.92,Low,10831.23,Remaining 80%
CUST_00192,New Customers,3,22,262.13,71.62,Medium,9271.48,Remaining 80%
CUST_00193,New Customers,111,5,333.5,14.23,Medium,3568.65,Remaining 80%
CUST_00194,At Risk,238,33,923.94,75.66,High,91664.42,Pareto Top 20%
CUST_00195,Loyal Customers,363,36,154.46,73.82,Low,11336.11,Remaining 80%
CUST_00196,Loyal Customers,239,47,768.06,102.1,Low,93102.92,Pareto Top 20%
CUST_00197,At Risk,274,20,279.86,43.16,High,16544.73,Remaining 80%
CUST_00198,New Customers,294,19,480.47,43.14,Medium,15664.22,Remaining 80%
CUST_00199,New Customers,227,35,520.57,75.64,Medium,52302.12,Remaining 80%
CUST_00200,Lost Customers,15,43,253.28,94.78,Critical,18337.7,Remaining 80%
CUST_00201,At Risk,192,17,379.35,38.31,High,22121.57,Remaining 80%
CUST_00202,Champions,119,45,286.39,93.7,Low,31919.73,Remaining 80%
CUST_00203,Loyal Customers,28,43,55.82,90.01,Low,4323.71,Remaining 80%
CUST_00204,New Customers,202,34,307.38,71.57,Medium,22832.83,Remaining 80%
CUST_00205,At Risk,39,9,71.23,21.21,High,1491.66,Remaining 80%
CUST_00206,Champions,273,26,279.61,55.16,Low,21928.59,Remaining 80%
CUST_00207,Champions,231,2,469.37,9.12,Low,2803.87,Remaining 80%
CUST_00208,At Risk,86,9,453.05,23.68,High,11106.49,Remaining 80%
CUST_00209,Champions,126,9,563.27,24.42,Low,8678.16,Remaining 80%
CUST_00210,Loyal Customers,300,40,70.05,81.03,Low,5052.39,Remaining 80%
CUST_00211,Potential Loyalists,25,17,547.95,43.33,Medium,15719.44,Remaining 80%
CUST_00212,At Risk,145,1,207.09,4.76,High,549.69,Remaining 80%
CUST_00213,At Risk,13,25,274.62,59.89,High,22342.24,Remaining 80%
CUST_00214,Loyal Customers,212,43,995.92,96.43,Low,101391.47,Pareto Top 20%
CUST_00215,At Risk,25,40,24.54,84.09,High,1788.18,Remaining 80%
CUST_00216,Loyal Customers,68,42,463.87,90.09,Low,50967.97,Remaining 80%
CUST_00217,Loyal Customers,67,25,476.54,56.24,Low,37211.87,Remaining 80%
CUST_00218,At Risk,233,39,272.64,81.15,High,31722.63,Remaining 80%
CUST_00219,At Risk,109,35,155.27,72.46,High,17732.08,Remaining 80%
CUST_00220,Lost Customers,146,3,153.73,8.22,Critical,948.12,Remaining 80%
CUST_00221,At Risk,111,37,1095.83,85.85,High,76546.56,Pareto Top 20%
CUST_00222,At Risk,228,44,311.72,91.55,High,44708.08,Remaining 80%
CUST_00223,Champions,111,44,220.9,91.1,Low,27361.85,Remaining 80%
CUST_00224,Potential Loyalists,34,30,317.81,66.04,Medium,20230.43,Remaining 80%
CUST_00225,Loyal Customers,111,38,573.41,82.63,Low,65035.27,Remaining 80%
CUST_00226,Loyal Customers,264,34,98.77,69.37,Low,10511.9,Remaining 80%
CUST_00227,New Customers,236,12,318.4,27.61,Medium,10430.62,Remaining 80%
CUST_00228,Potential Loyalists,83,19,463.23,43.82,Medium,25310.7,Remaining 80%
CUST_00229,New Customers,42,37,1503.9,91.36,Medium,125228.6,Pareto Top 20%
CUST_00230,At Risk,101,44,165.53,90.64,High,18771.97,Remaining 80%
CUST_00231,Lost Customers,6,49,242.56,114.71,Critical,30287.88,Remaining 80%
CUST_00232,Potential Loyalists,180,17,258.5,37.14,Medium,14045.24,Remaining 80%
CUST_00233,At Risk,282,10,485.12,25.2,High,15426.47,Remaining 80%
CUST_00234,Potential Loyalists,320,49,240.6,100.72,Medium,37317.71,Remaining 80%
CUST_00235,Loyal Customers,226,47,401.26,98.45,Low,28704.93,Remaining 80%
CUST_00236,At Risk,315,12,781.15,32.13,High,28112.88,Pareto Top 20%
CUST_00237,Loyal Customers,229,16,631.04,38.75,Low,30465.12,Remaining 80%
CUST_00238,Champions,289,24,315.63,51.5,Low,21640.28,Remaining 80%
CUST_00239,At Risk,150,19,1018.35,48.85,High,58288.38,Pareto Top 20%
CUST_00240,Loyal Customers,277,8,428.38,20.64,Low,10911.49,Remaining 80%
CUST_00241,New Customers,198,31,408.16,66.58,Medium,30881.3,Remaining 80%
CUST_00242,New Customers,70,21,37.39,43.78,Medium,1966.19,Remaining 80%
CUST_00243,New Customers,112,17,2179.73,56.68,Medium,64825.78,Pareto Top 20%
CUST_00244,Potential Loyalists,4,23,85.61,66.86,Medium,4471.18,Remaining 80%
CUST_00245,Champions,350,37,151.42,75.8,Low,15612.77,Remaining 80%
CUST_00246,New Customers,331,16,46.54,32.77,Medium,2279.19,Remaining 80%
CUST_00247,Potential Loyalists,318,6,530.83,17.62,Medium,6161.08,Remaining 80%
CUST_00248,New Customers,350,8,147.25,17.76,Medium,2091.71,Remaining 80%
CUST_00249,New Customers,95,25,119.23,52.23,Medium,8423.85,Remaining 80%
CUST_00250,New Customers,152,18,66.36,37.32,Medium,1796.21,Remaining 80%
CUST_00251,Loyal Customers,311,25,74.52,51.07,Low,3459.12,Remaining 80%
CUST_00252,Potential Loyalists,137,12,459.34,29.32,Medium,8588.61,Remaining 80%
CUST_00253,New Customers,247,15,602.71,36.43,Medium,16578.47,Remaining 80%
CUST_00254,Loyal Customers,243,26,273.23,55.14,Low,13232.15,Remaining 80%
CUST_00255,Loyal Customers,31,41,346.86,88.59,Low,32358.3,Remaining 80%
CUST_00256,At Risk,40,45,599.13,98.43,High,62135.44,Remaining 80%
CUST_00257,New Customers,229,26,28.77,52.72,Medium,2429.96,Remaining 80%
CUST_00258,At Risk,36,47,215.14,98.85,High,25483.4,Remaining 80%
CUST_00259,At Risk,223,32,1827.77,82.72,High,172354.88,Pareto Top 20%
CUST_00260,Champions,6,10,453.88,38.82,Low,7753.52,Remaining 80%
CUST_00261,At Risk,322,16,166.67,33.98,High,5202.44,Remaining 80%
CUST_00262,New Customers,220,7,388.79,18.34,Medium,7908.46,Remaining 80%
CUST_00263,Champions,75,17,229.77,37.61,Low,6271.65,Remaining 80%
CUST_00264,Potential Loyalists,4,23,399.91,70.0,Medium,22748.28,Remaining 80%
CUST_00265,New Customers,335,26,87.19,53.17,Medium,6117.88,Remaining 80%
CUST_00266,At Risk,134,21,91.19,43.65,High,5178.69,Remaining 80%
CUST_00267,At Risk,118,22,97.48,45.82,High,3315.2,Remaining 80%
CUST_00268,At Risk,94,7,1425.21,29.3,High,21391.71,Pareto Top 20%
CUST_00269,Potential Loyalists,62,14,680.06,36.39,Medium,26401.11,Remaining 80%
CUST_00270,Loyal Customers,194,15,108.6,31.6,Low,2928.94,Remaining 80%
CUST_00271,Lost Customers,335,7,124.34,15.54,Critical,2516.12,Remaining 80%
CUST_00272,Lost Customers,203,9,676.21,25.25,Critical,18208.07,Remaining 80%
CUST_00273,New Customers,26,48,104.9,100.75,Medium,17441.62,Remaining 80%
CUST_00274,New Customers,173,8,153.65,18.11,Medium,2359.68,Remaining 80%
CUST_00275,Potential Loyalists,300,23,1673.13,63.06,Medium,121228.33,Pareto Top 20%
CUST_00276,Potential Loyalists,133,29,167.39,60.42,Medium,12332.83,Remaining 80%
CUST_00277,Lost Customers,326,18,561.81,41.92,Critical,22722.21,Remaining 80%
CUST_00278,At Risk,118,31,1942.91,82.27,High,105086.87,Pareto Top 20%
CUST_00279,At Risk,324,30,254.44,62.85,High,22678.32,Remaining 80%
CUST_00280,Lost Customers,275,39,28.84,78.65,Critical,2217.71,Remaining 80%
CUST_00281,New Customers,212,35,159.95,72.07,Medium,12556.0,Remaining 80%
CUST_00282,Loyal Customers,225,18,908.57,45.53,Low,26577.05,Pareto Top 20%
CUST_00283,Potential Loyalists,20,42,1019.79,98.96,Medium,132893.75,Pareto Top 20%
CUST_00284,Champions,113,39,751.63,86.39,Low,88913.25,Remaining 80%
CUST_00285,At Risk,140,17,80.02,35.51,High,4036.44,Remaining 80%
CUST_00286,Champions,47,14,813.62,38.22,Low,23907.75,Pareto Top 20%
CUST_00287,Potential Loyalists,1,31,1274.67,124.75,Medium,72982.21,Pareto Top 20%
CUST_00288,Potential Loyalists,90,24,478.91,53.89,Medium,31896.63,Remaining 80%
CUST_00289,Loyal Customers,142,35,1434.05,85.04,Low,125094.54,Pareto Top 20%
CUST_00290,At Risk,320,44,896.77,97.28,High,73253.75,Pareto Top 20%
CUST_00291,Champions,38,45,569.76,98.26,Low,73631.23,Remaining 80%
CUST_00292,Champions,293,34,450.41,72.84,Low,53327.01,Remaining 80%
CUST_00293,Lost Customers,139,3,234.3,9.06,Critical,2104.79,Remaining 80%
CUST_00294,Potential Loyalists,356,37,106.75,75.35,Medium,11770.15,Remaining 80%
CUST_00295,Champions,333,43,484.38,91.14,Low,70829.38,Remaining 80%
CUST_00296,Potential Loyalists,259,40,211.44,82.5,Medium,16119.11,Remaining 80%
CUST_00297,Lost Customers,161,26,1026.6,62.88,Critical,70228.27,Pareto Top 20%
CUST_00298,Loyal Customers,178,23,2525.59,71.81,Low,200945.41,Pareto Top 20%
CUST_00299,At Risk,10,44,718.03,104.27,High,57834.36,Remaining 80%
CUST_00300,Champions,261,39,67.42,79.06,Low,7626.53,Remaining 80%
CUST_00301,Champions,138,15,190.32,32.62,Low,7626.94,Remaining 80%
CUST_00302,Potential Loyalists,172,49,77.77,99.36,Medium,10185.92,Remaining 80%
CUST_00303,Potential Loyalists,13,4,545.64,20.6,Medium,6319.26,Remaining 80%
CUST_00304,At Risk,168,29,744.49,66.04,High,72526.56,Remaining 80%
CUST_00305,At Risk,130,22,1319.65,57.96,High,88988.76,Pareto Top 20%
CUST_00306,New Customers,84,25,308.28,54.26,Medium,12425.78,Remaining 80%
CUST_00307,Potential Loyalists,321,13,1178.22,38.09,Medium,49097.52,Pareto Top 20%
CUST_00308,Loyal Customers,319,18,1071.42,47.03,Low,37627.72,Pareto Top 20%
CUST_00309,Lost Customers,101,33,210.77,69.09,Critical,15676.3,Remaining 80%
CUST_00310,Loyal Customers,329,16,1035.9,42.66,Low,40167.49,Pareto Top 20%
CUST_00311,Potential Loyalists,273,45,255.54,92.92,Medium,28309.11,Remaining 80%
CUST_00312,Champions,265,42,196.11,86.34,Low,19523.76,Remaining 80%
CUST_00313,Champions,38,44,543.59,96.0,Low,80716.1,Remaining 80%
CUST_00314,New Customers,94,2,219.03,7.24,Medium,1275.65,Remaining 80%
CUST_00315,Lost Customers,95,35,517.41,76.22,Critical,50024.21,Remaining 80%
CUST_00316,At Risk,305,42,490.59,89.23,High,32961.14,Remaining 80%
CUST_00317,Potential Loyalists,69,34,434.41,73.77,Medium,48856.4,Remaining 80%
CUST_00318,Loyal Customers,318,30,259.36,62.91,Low,25822.77,Remaining 80%
CUST_00319,Loyal Customers,236,13,417.59,30.6,Low,16614.04,Remaining 80%
CUST_00320,Loyal Customers,334,13,473.77,31.04,Low,9325.1,Remaining 80%
CUST_00321,Potential Loyalists,137,18,414.48,40.87,Medium,12045.65,Remaining 80%
CUST_00322,At Risk,76,32,313.87,68.44,High,19589.98,Remaining 80%
CUST_00323,At Risk,35,32,27.39,67.05,High,1544.97,Remaining 80%
CUST_00324,Loyal Customers,1,35,462.23,124.62,Low,37171.85,Remaining 80%
CUST_00325,New Customers,296,39,112.23,79.46,Medium,14642.04,Remaining 80%
CUST_00326,At Risk,320,46,534.42,97.66,High,60084.61,Remaining 80%
CUST_00327,At Risk,60,29,732.19,66.96,High,32419.43,Remaining 80%
CUST_00328,At Risk,320,49,367.02,101.98,High,37145.76,Remaining 80%
CUST_00329,Potential Loyalists,349,29,410.84,62.39,Medium,18934.18,Remaining 80%
