Order_Date,Category,Sub_Category,Region,Sales_USD,Profit_USD,Discount_Pct,Profit_Margin_Pct,Predicted_Margin,Margin_Error
2023-09-20,Furniture,Chairs,Central,270.64,-55.75,0.3,-20.6,-20.24,0.36
2022-04-13,Office Supplies,Binders,Central,42.65,-2.59,0.4,-6.08,-6.06,0.02
2024-10-28,Office Supplies,Pens,West,26.49,-2.97,0.4,-11.23,-10.25,0.98
2023-03-20,Office Supplies,Envelopes,Central,213.79,48.34,0.0,22.61,21.81,0.8
2021-03-26,Technology,Copiers,West,480.46,9.42,0.2,1.96,1.06,0.9
2024-06-19,Office Supplies,Paper,West,410.72,68.47,0.1,16.67,17.17,0.5
2021-04-29,Furniture,Bookcases,East,372.16,36.03,0.0,9.68,10.55,0.87
2024-08-18,Technology,Computers,Central,271.18,-18.85,0.3,-6.95,-6.49,0.46
2022-09-12,Technology,Copiers,South,151.61,28.7,0.0,18.93,20.41,1.48
2023-12-18,Furniture,Bookcases,Central,180.99,22.32,0.0,12.33,10.42,1.91
2022-11-29,Technology,Accessories,West,419.02,1.59,0.2,0.38,-1.04,1.42
2021-04-18,Technology,Copiers,West,85.92,-11.45,0.4,-13.33,-13.32,0.01
2024-12-24,Office Supplies,Pens,South,33.53,6.67,0.0,19.89,18.92,0.97
2023-06-25,Furniture,Tables,Central,704.27,54.02,0.0,7.67,8.65,0.98
2024-11-23,Furniture,Storage,South,196.92,11.26,0.0,5.72,5.87,0.15
2024-08-22,Office Supplies,Binders,West,121.11,-5.69,0.3,-4.7,-4.21,0.49
2021-08-29,Technology,Computers,East,171.68,17.91,0.1,10.43,11.47,1.04
2022-07-28,Technology,Computers,West,206.39,-36.9,0.5,-17.88,-18.56,0.68
2021-03-24,Office Supplies,Pens,West,556.66,51.32,0.1,9.22,8.62,0.6
2023-11-27,Furniture,Storage,West,239.29,-17.95,0.2,-7.5,-6.69,0.81
2023-09-08,Furniture,Tables,Central,95.25,-3.91,0.1,-4.11,-3.57,0.54
2023-01-30,Furniture,Storage,Central,46.16,-1.55,0.2,-3.35,-3.23,0.12
2021-02-12,Technology,Computers,South,256.93,-23.28,0.3,-9.06,-9.33,0.27
2024-12-02,Office Supplies,Labels,West,315.96,-4.11,0.3,-1.3,-0.5,0.8
2023-01-21,Furniture,Tables,East,159.39,-1.29,0.1,-0.81,-0.09,0.72
2022-01-13,Office Supplies,Envelopes,East,301.93,-6.16,0.3,-2.04,-1.24,0.8
2021-04-21,Technology,Computers,East,213.55,30.09,0.0,14.09,14.76,0.67
2023-10-14,Technology,Accessories,Central,273.67,19.92,0.1,7.28,7.84,0.56
2021-03-01,Technology,Accessories,South,202.71,1.34,0.2,0.66,0.18,0.48
2022-06-04,Technology,Computers,South,138.14,31.84,0.0,23.05,25.43,2.38
2024-06-29,Furniture,Tables,West,220.0,-22.22,0.2,-10.1,-9.89,0.21
2021-11-02,Office Supplies,Labels,West,107.25,-4.52,0.3,-4.21,-3.63,0.58
2024-07-31,Office Supplies,Paper,South,148.09,24.51,0.1,16.55,15.56,0.99
2021-06-03,Furniture,Bookcases,Central,19.28,-3.76,0.3,-19.51,-21.17,1.66
2021-06-24,Office Supplies,Labels,South,16.08,3.23,0.0,20.06,18.98,1.08
2023-05-03,Technology,Phones,South,202.72,34.69,0.0,17.11,19.28,2.17
2022-06-15,Furniture,Tables,Central,420.46,-4.88,0.1,-1.16,-1.83,0.67
2021-01-12,Furniture,Storage,East,94.05,1.4,0.1,1.49,1.3,0.19
2021-09-11,Technology,Computers,East,94.69,15.36,0.0,16.22,15.36,0.86
2024-09-01,Office Supplies,Binders,Central,25.9,5.83,0.0,22.52,23.43,0.91
2023-04-15,Office Supplies,Binders,East,66.22,4.17,0.2,6.3,7.05,0.75
2023-12-11,Office Supplies,Labels,South,78.85,-10.04,0.4,-12.73,-12.09,0.64
2022-04-14,Office Supplies,Binders,East,448.02,108.82,0.0,24.29,24.3,0.01
2022-01-07,Office Supplies,Binders,East,133.12,33.31,0.0,25.02,24.44,0.58
2021-06-05,Technology,Phones,West,47.23,6.55,0.1,13.87,14.33,0.46
2021-09-22,Technology,Computers,South,1015.95,188.05,0.0,18.51,18.6,0.09
2024-01-01,Office Supplies,Binders,South,393.61,93.44,0.0,23.74,24.24,0.5
2022-04-07,Furniture,Bookcases,West,71.89,7.35,0.0,10.23,10.47,0.24
2022-03-17,Furniture,Chairs,East,518.82,-10.53,0.1,-2.03,-4.26,2.23
2021-12-01,Office Supplies,Binders,West,141.72,28.0,0.0,19.76,19.81,0.05
2024-03-05,Office Supplies,Pens,East,853.19,28.84,0.2,3.38,2.98,0.4
2021-07-28,Technology,Phones,South,415.81,53.68,0.1,12.91,13.63,0.72
2022-07-08,Furniture,Tables,East,214.35,-16.59,0.2,-7.74,-8.69,0.95
2023-11-21,Technology,Copiers,South,161.89,1.17,0.2,0.72,0.17,0.55
2024-04-22,Furniture,Bookcases,Central,283.72,6.1,0.1,2.15,3.72,1.57
2021-08-12,Furniture,Tables,South,272.68,5.34,0.1,1.96,1.9,0.06
2021-05-30,Technology,Copiers,East,41.87,8.34,0.0,19.93,21.49,1.56
2022-09-12,Technology,Copiers,West,378.52,89.52,0.0,23.65,25.0,1.35
2021-08-30,Technology,Computers,South,560.6,-84.03,0.4,-14.99,-15.46,0.47
2022-07-08,Furniture,Bookcases,West,131.11,12.6,0.0,9.61,8.25,1.36
2023-02-24,Technology,Phones,East,497.14,74.37,0.0,14.96,13.31,1.65
2022-10-23,Office Supplies,Paper,Central,137.83,2.05,0.2,1.49,1.23,0.26
2022-02-10,Office Supplies,Binders,Central,64.28,16.15,0.0,25.12,24.42,0.7
2024-12-26,Furniture,Storage,East,336.78,18.86,0.0,5.6,5.44,0.16
2022-05-26,Technology,Accessories,West,121.29,26.74,0.0,22.05,21.72,0.33
2024-02-07,Furniture,Chairs,West,21.17,-0.45,0.1,-2.14,-2.03,0.11
2021-05-31,Office Supplies,Paper,East,239.36,44.95,0.1,18.78,18.76,0.02
2024-03-15,Technology,Accessories,Central,429.81,78.18,0.0,18.19,19.14,0.95
2021-01-29,Office Supplies,Envelopes,South,387.6,31.67,0.2,8.17,7.04,1.13
2024-03-21,Furniture,Chairs,Central,262.8,-28.51,0.3,-10.85,-10.41,0.44
2021-05-07,Furniture,Storage,South,503.29,-146.36,0.4,-29.08,-29.98,0.9
2022-09-08,Furniture,Bookcases,West,79.92,7.18,0.0,8.98,7.73,1.25
2021-02-19,Furniture,Chairs,Central,304.06,20.13,0.0,6.62,7.71,1.09
2024-11-23,Technology,Phones,East,455.95,77.06,0.0,16.9,17.37,0.47
2021-02-02,Technology,Computers,East,210.5,-14.76,0.3,-7.01,-5.66,1.35
2022-09-08,Furniture,Chairs,South,370.04,6.85,0.1,1.85,0.65,1.2
2022-02-05,Furniture,Tables,West,66.51,5.71,0.0,8.59,7.61,0.98
2023-12-05,Technology,Phones,West,216.43,-1.52,0.2,-0.7,-1.61,0.91
2022-07-14,Furniture,Storage,West,338.12,25.46,0.0,7.53,8.34,0.81
2024-08-29,Furniture,Tables,South,141.03,-34.81,0.4,-24.68,-23.47,1.21
2021-11-10,Office Supplies,Pens,East,203.91,12.83,0.2,6.29,6.47,0.18
2022-05-03,Office Supplies,Envelopes,Central,281.22,83.47,0.0,29.68,29.58,0.1
2023-05-24,Furniture,Tables,West,136.65,17.71,0.0,12.96,12.26,0.7
2023-05-12,Technology,Accessories,Central,522.95,-6.59,0.2,-1.26,-0.33,0.93
2023-02-01,Office Supplies,Labels,South,504.19,-40.39,0.4,-8.01,-7.0,1.01
2023-07-20,Furniture,Storage,South,436.13,-24.38,0.2,-5.59,-4.66,0.93
2021-03-06,Technology,Computers,West,322.1,7.83,0.2,2.43,2.05,0.38
2023-12-04,Office Supplies,Binders,Central,253.45,29.91,0.1,11.8,11.44,0.36
2022-04-11,Office Supplies,Paper,Central,876.15,123.36,0.1,14.08,14.11,0.03
2024-07-16,Furniture,Bookcases,West,325.09,17.65,0.0,5.43,8.17,2.74
2023-08-25,Office Supplies,Paper,Central,165.5,24.05,0.1,14.53,15.92,1.39
2024-10-03,Technology,Computers,West,661.41,14.88,0.2,2.25,3.32,1.07
2022-02-01,Office Supplies,Pens,Central,12.86,3.83,0.0,29.79,29.14,0.65
2021-06-11,Technology,Computers,East,172.27,12.71,0.1,7.38,8.17,0.79
2024-08-22,Furniture,Storage,East,584.83,-74.68,0.2,-12.77,-12.13,0.64
2024-10-11,Office Supplies,Binders,Central,155.51,13.92,0.2,8.95,8.74,0.21
2023-01-19,Office Supplies,Labels,East,64.83,-9.4,0.5,-14.5,-12.88,1.62
2021-11-12,Furniture,Bookcases,East,155.4,14.84,0.0,9.55,10.74,1.19
2023-10-14,Technology,Accessories,South,1594.01,354.83,0.0,22.26,21.69,0.57
2022-07-26,Office Supplies,Pens,East,302.6,16.95,0.2,5.6,6.73,1.13
2023-08-15,Office Supplies,Envelopes,West,668.79,-61.13,0.4,-9.14,-8.81,0.33
2024-11-05,Technology,Accessories,Central,109.13,19.8,0.0,18.14,17.51,0.63
2024-08-16,Technology,Copiers,West,1439.44,260.97,0.0,18.13,19.16,1.03
2023-08-20,Office Supplies,Paper,South,260.23,59.12,0.0,22.72,23.03,0.31
2021-10-04,Technology,Accessories,Central,62.45,11.83,0.0,18.95,18.32,0.63
2022-05-05,Technology,Accessories,West,626.35,109.61,0.0,17.5,17.65,0.15
2021-10-09,Furniture,Bookcases,Central,10.34,-0.25,0.1,-2.43,-1.57,0.86
2023-02-28,Technology,Computers,Central,1201.95,51.2,0.2,4.26,2.91,1.35
2021-09-20,Office Supplies,Pens,East,15.58,2.02,0.1,12.95,14.06,1.11
2023-10-31,Technology,Phones,East,840.48,12.1,0.2,1.44,1.04,0.4
2023-05-18,Furniture,Chairs,East,202.49,28.47,0.0,14.06,13.32,0.74
2021-01-02,Office Supplies,Labels,Central,526.97,106.97,0.0,20.3,21.03,0.73
2024-03-06,Furniture,Tables,East,1765.46,-65.15,0.1,-3.69,-3.87,0.18
2024-06-21,Technology,Accessories,South,559.68,3.08,0.2,0.55,0.2,0.35
2022-08-04,Furniture,Storage,South,179.87,-33.2,0.4,-18.46,-19.53,1.07
2021-10-20,Technology,Phones,Central,122.17,25.45,0.0,20.83,21.69,0.86
2021-09-28,Technology,Phones,South,147.91,-6.63,0.3,-4.48,-4.51,0.03
2024-03-09,Technology,Phones,West,60.05,5.34,0.1,8.89,8.91,0.02
2021-12-28,Technology,Copiers,South,1038.06,237.82,0.0,22.91,24.41,1.5
2024-03-10,Technology,Computers,South,212.94,28.17,0.0,13.23,13.79,0.56
2023-05-27,Office Supplies,Labels,West,13.51,2.79,0.0,20.64,18.22,2.42
2021-06-03,Office Supplies,Labels,West,600.1,35.59,0.2,5.93,5.36,0.57
2022-05-21,Technology,Copiers,West,263.82,35.83,0.0,13.58,13.49,0.09
2021-04-25,Furniture,Storage,West,228.76,16.45,0.0,7.19,7.1,0.09
2021-03-02,Furniture,Bookcases,East,1147.82,123.51,0.0,10.76,11.31,0.55
2023-06-14,Technology,Copiers,Central,49.79,-0.44,0.3,-0.89,0.49,1.38
2024-04-04,Technology,Computers,South,624.31,1.62,0.2,0.26,1.35,1.09
2021-03-01,Office Supplies,Pens,South,251.56,34.46,0.1,13.7,15.2,1.5
2023-06-18,Furniture,Tables,Central,397.11,-3.53,0.1,-0.89,1.27,2.16
2023-03-22,Office Supplies,Envelopes,West,70.31,4.17,0.2,5.93,8.07,2.14
2022-08-12,Furniture,Bookcases,East,131.18,-3.32,0.1,-2.53,-2.54,0.01
2023-11-28,Technology,Phones,East,19.34,4.11,0.0,21.27,21.16,0.11
2023-03-05,Technology,Copiers,South,307.28,6.42,0.2,2.09,3.67,1.58
2024-03-03,Office Supplies,Binders,South,18.95,5.03,0.0,26.53,28.17,1.64
2023-07-12,Office Supplies,Paper,Central,279.2,-23.45,0.4,-8.4,-9.65,1.25
2022-06-29,Office Supplies,Binders,Central,458.83,87.09,0.1,18.98,20.26,1.28
2022-10-13,Furniture,Bookcases,West,588.04,9.59,0.1,1.63,1.26,0.37
2022-01-12,Office Supplies,Binders,South,279.65,64.66,0.0,23.12,23.03,0.09
2021-12-09,Technology,Phones,Central,276.32,15.97,0.1,5.78,5.23,0.55
2022-09-22,Furniture,Bookcases,East,65.81,1.97,0.1,2.99,2.5,0.49
2022-06-05,Office Supplies,Envelopes,West,97.32,25.51,0.0,26.21,24.6,1.61
2023-02-28,Technology,Phones,West,376.63,39.62,0.1,10.52,11.61,1.09
2021-11-25,Furniture,Tables,East,49.36,4.17,0.0,8.45,7.97,0.48
2022-10-26,Technology,Phones,Central,124.01,15.81,0.1,12.75,13.1,0.35
2021-10-02,Office Supplies,Pens,East,135.86,16.03,0.1,11.8,12.31,0.51
2024-11-29,Office Supplies,Labels,South,90.19,-6.84,0.4,-7.58,-8.8,1.22
2021-02-14,Office Supplies,Paper,East,216.25,14.27,0.2,6.6,7.65,1.05
2023-08-09,Technology,Computers,South,348.58,51.35,0.0,14.73,16.36,1.63
2024-12-21,Furniture,Tables,South,62.05,-3.47,0.2,-5.59,-5.99,0.4
2022-04-23,Technology,Phones,West,261.12,3.32,0.2,1.27,2.23,0.96
2022-07-03,Furniture,Bookcases,East,704.93,-96.08,0.3,-13.63,-14.02,0.39
2023-10-13,Furniture,Tables,Central,11.73,0.49,0.0,4.17,2.53,1.64
2023-06-24,Technology,Phones,West,91.36,20.95,0.0,22.93,23.94,1.01
2021-12-26,Furniture,Chairs,Central,244.5,-58.02,0.4,-23.73,-24.91,1.18
2024-04-15,Office Supplies,Pens,South,249.16,16.3,0.2,6.54,8.36,1.82
2022-12-01,Office Supplies,Labels,South,938.07,22.04,0.2,2.35,1.87,0.48
2024-03-18,Office Supplies,Paper,East,209.58,39.88,0.0,19.03,17.93,1.1
2024-06-08,Office Supplies,Paper,South,389.37,73.28,0.0,18.82,18.88,0.06
2024-11-06,Office Supplies,Labels,Central,380.38,65.5,0.0,17.22,17.66,0.44
2023-05-29,Furniture,Bookcases,East,249.7,23.52,0.0,9.42,9.56,0.14
2022-06-11,Furniture,Chairs,East,280.08,-31.31,0.2,-11.18,-10.7,0.48
2024-04-16,Furniture,Storage,South,140.82,8.22,0.0,5.84,6.73,0.89
2021-09-03,Office Supplies,Paper,West,40.12,5.08,0.2,12.67,11.43,1.24
2021-12-03,Office Supplies,Envelopes,East,202.1,24.98,0.1,12.36,11.42,0.94
2023-09-14,Office Supplies,Pens,East,99.07,7.93,0.2,8.0,6.45,1.55
2023-04-25,Furniture,Tables,West,389.33,-27.6,0.2,-7.09,-7.62,0.53
2022-06-20,Office Supplies,Labels,East,102.32,1.14,0.2,1.11,2.69,1.58
2024-07-08,Furniture,Chairs,Central,31.59,0.22,0.1,0.7,-0.86,1.56
2024-12-24,Furniture,Bookcases,East,88.73,-3.99,0.1,-4.5,-5.83,1.33
2024-01-08,Office Supplies,Envelopes,South,270.59,60.42,0.0,22.33,22.71,0.38
2022-07-13,Office Supplies,Paper,East,174.81,-3.6,0.3,-2.06,-1.68,0.38
2024-05-14,Office Supplies,Envelopes,Central,59.61,-10.6,0.5,-17.78,-17.0,0.78
2023-01-10,Technology,Copiers,East,99.14,2.87,0.2,2.89,3.89,1.0
2022-05-21,Furniture,Chairs,East,47.55,2.15,0.0,4.53,2.99,1.54
2023-01-23,Technology,Phones,West,119.38,29.21,0.0,24.47,23.34,1.13
2022-07-10,Office Supplies,Pens,Central,1464.48,-25.63,0.3,-1.75,-1.85,0.1
2022-08-12,Furniture,Tables,East,501.85,-47.78,0.2,-9.52,-9.76,0.24
2023-04-20,Furniture,Bookcases,East,85.93,-18.78,0.4,-21.86,-21.74,0.12
2021-09-13,Technology,Computers,West,778.24,110.28,0.1,14.17,14.73,0.56
2023-01-09,Office Supplies,Pens,West,533.24,31.03,0.2,5.82,4.77,1.05
2023-01-09,Office Supplies,Envelopes,West,249.24,-38.41,0.4,-15.41,-16.06,0.65
2022-06-17,Furniture,Chairs,South,582.05,47.44,0.0,8.15,7.92,0.23
2024-12-07,Office Supplies,Pens,West,465.28,67.23,0.1,14.45,14.11,0.34
2023-10-07,Office Supplies,Binders,Central,33.27,1.23,0.2,3.69,3.13,0.56
2023-06-30,Technology,Copiers,South,1723.86,-182.73,0.3,-10.6,-9.69,0.91
2022-06-21,Furniture,Bookcases,East,52.02,-10.46,0.3,-20.1,-20.32,0.22
2022-12-04,Furniture,Tables,Central,406.84,-32.91,0.2,-8.09,-8.26,0.17
2022-04-18,Furniture,Tables,Central,271.79,-18.02,0.2,-6.63,-7.82,1.19
2021-06-10,Furniture,Tables,West,1127.34,-180.94,0.3,-16.05,-15.47,0.58
2024-03-29,Office Supplies,Labels,South,102.78,24.87,0.0,24.2,22.96,1.24
2023-10-02,Technology,Copiers,West,194.55,-0.02,0.2,-0.01,1.03,1.04
2022-12-25,Technology,Phones,East,809.15,159.89,0.0,19.76,20.27,0.51
2021-03-11,Office Supplies,Binders,Central,670.53,93.27,0.1,13.91,14.17,0.26
2022-11-06,Technology,Accessories,Central,332.79,-44.26,0.3,-13.3,-13.11,0.19
2023-03-14,Office Supplies,Envelopes,Central,865.83,23.98,0.2,2.77,0.99,1.78
2023-07-02,Furniture,Storage,South,102.38,11.25,0.0,10.99,10.23,0.76
2024-11-02,Furniture,Bookcases,East,13.14,0.97,0.0,7.37,7.25,0.12
2023-05-01,Office Supplies,Paper,East,490.91,108.83,0.0,22.17,22.44,0.27
2022-10-04,Office Supplies,Envelopes,East,51.12,9.65,0.0,18.87,16.9,1.97
2021-01-19,Technology,Computers,East,105.98,-14.99,0.4,-14.14,-12.1,2.04
2022-11-04,Technology,Accessories,East,517.76,-18.07,0.3,-3.49,-4.3,0.81
2024-12-08,Furniture,Storage,East,459.43,-34.27,0.2,-7.46,-8.76,1.3
2024-11-10,Furniture,Storage,West,400.53,24.79,0.0,6.19,6.46,0.27
2023-01-13,Office Supplies,Pens,Central,561.1,72.38,0.2,12.9,13.98,1.08
2021-08-22,Office Supplies,Pens,Central,360.28,6.74,0.3,1.87,2.54,0.67
2021-10-11,Furniture,Tables,South,511.0,-46.35,0.2,-9.07,-8.46,0.61
2023-10-02,Furniture,Tables,Central,121.72,-8.16,0.2,-6.7,-5.51,1.19
2021-01-17,Technology,Phones,South,232.8,-11.78,0.3,-5.06,-4.74,0.32
2024-07-03,Technology,Computers,West,147.63,24.57,0.0,16.64,15.82,0.82
2021-07-21,Technology,Computers,South,156.02,-0.05,0.2,-0.03,0.64,0.67
2024-03-05,Furniture,Chairs,East,366.84,12.55,0.0,3.42,4.68,1.26
2023-03-31,Technology,Accessories,Central,206.74,4.92,0.2,2.38,1.69,0.69
2023-10-13,Furniture,Storage,East,284.41,-31.23,0.2,-10.98,-10.59,0.39
2021-06-28,Furniture,Tables,East,80.66,-18.48,0.3,-22.91,-22.54,0.37
2024-12-28,Technology,Accessories,West,37.83,8.53,0.0,22.54,23.17,0.63
2022-08-22,Furniture,Chairs,West,174.06,-15.75,0.2,-9.05,-8.79,0.26
2024-12-01,Furniture,Storage,Central,414.11,-95.62,0.4,-23.09,-24.47,1.38
2022-03-13,Office Supplies,Labels,Central,17.35,-0.27,0.3,-1.58,-3.35,1.77
2022-12-04,Technology,Accessories,East,584.64,93.13,0.0,15.93,13.71,2.22
2022-12-26,Technology,Computers,South,207.9,38.71,0.0,18.62,18.24,0.38
2022-08-06,Technology,Copiers,West,12.12,2.01,0.0,16.61,16.26,0.35
2021-12-27,Technology,Copiers,West,31.44,4.74,0.0,15.07,14.18,0.89
2021-04-06,Furniture,Storage,East,105.22,-3.7,0.2,-3.52,-3.79,0.27
2022-04-06,Technology,Copiers,South,24.28,-0.93,0.2,-3.84,-3.06,0.78
2021-03-18,Office Supplies,Paper,South,337.01,-26.59,0.4,-7.89,-7.79,0.1
2023-04-06,Furniture,Chairs,West,1203.72,56.21,0.0,4.67,5.24,0.57
2021-05-10,Office Supplies,Pens,West,891.44,-105.37,0.4,-11.82,-10.19,1.63
2021-04-09,Furniture,Bookcases,West,232.32,21.58,0.0,9.29,9.98,0.69
2021-07-25,Furniture,Chairs,West,294.72,21.49,0.0,7.29,8.44,1.15
2023-03-08,Furniture,Storage,West,341.71,18.14,0.1,5.31,4.28,1.03
2022-01-13,Office Supplies,Envelopes,Central,194.43,39.1,0.0,20.11,20.71,0.6
2024-07-08,Furniture,Bookcases,South,434.1,4.21,0.1,0.97,0.72,0.25
2024-08-20,Furniture,Bookcases,West,190.03,-61.15,0.5,-32.18,-32.92,0.74
2021-05-17,Technology,Computers,South,490.36,55.85,0.0,11.39,10.35,1.04
2023-04-24,Technology,Accessories,Central,78.36,10.0,0.1,12.76,12.09,0.67
2022-10-16,Technology,Copiers,Central,318.73,57.85,0.0,18.15,19.11,0.96
2024-12-06,Furniture,Storage,East,124.27,-20.88,0.3,-16.8,-16.32,0.48
2022-04-03,Technology,Copiers,West,20.19,4.11,0.0,20.35,20.92,0.57
2024-11-13,Furniture,Tables,East,36.15,-5.76,0.3,-15.93,-14.52,1.41
2021-05-16,Office Supplies,Labels,Central,49.18,3.53,0.2,7.17,6.4,0.77
2021-06-11,Technology,Copiers,East,80.62,15.68,0.0,19.45,19.21,0.24
2024-04-24,Technology,Accessories,East,527.18,51.29,0.1,9.73,7.49,2.24
2021-07-27,Furniture,Tables,South,383.45,-64.11,0.3,-16.72,-17.09,0.37
2023-12-14,Technology,Accessories,Central,73.68,5.77,0.2,7.83,6.21,1.62
2021-01-06,Office Supplies,Pens,Central,19.48,0.98,0.2,5.05,4.37,0.68
2023-10-11,Office Supplies,Binders,South,87.31,0.53,0.3,0.61,-0.74,1.35
2024-01-14,Technology,Accessories,East,144.06,23.76,0.0,16.49,17.93,1.44
2023-09-07,Technology,Accessories,West,475.98,15.37,0.2,3.23,2.99,0.24
2021-07-08,Office Supplies,Pens,Central,158.17,32.08,0.0,20.28,18.96,1.32
2024-11-21,Office Supplies,Pens,South,15.45,2.34,0.1,15.16,14.46,0.7
2022-02-16,Office Supplies,Paper,Central,500.28,123.42,0.0,24.67,24.14,0.53
2021-03-09,Office Supplies,Envelopes,East,83.94,18.16,0.0,21.64,21.42,0.22
2023-12-22,Technology,Copiers,South,117.55,8.04,0.1,6.84,5.77,1.07
2021-09-28,Office Supplies,Envelopes,South,583.7,50.84,0.2,8.71,8.92,0.21
2021-04-03,Office Supplies,Labels,East,484.81,107.68,0.0,22.21,23.37,1.16
2024-04-25,Technology,Accessories,South,46.63,8.77,0.0,18.8,19.44,0.64
2021-07-20,Technology,Copiers,West,365.69,64.98,0.0,17.77,18.65,0.88
2023-10-23,Office Supplies,Paper,South,185.76,17.96,0.2,9.67,11.42,1.75
2024-12-07,Office Supplies,Envelopes,South,90.04,4.84,0.2,5.38,3.63,1.75
2021-10-14,Office Supplies,Binders,East,144.76,19.31,0.1,13.34,11.27,2.07
